sf|cc|mf|ld|ci|bu|rn|Field|Short|Medium|Long|mh
1|1|1|0|0|0|1|APPLIANCES|E|COMP|Compactor|1
1|1|1|0|0|0|1|APPLIANCES|F|MCWV|Microwave|1
1|1|1|0|0|0|1|APPLIANCES|G|GRIL|Indoor Grill|1
1|1|1|0|0|0|1|APPLIANCES|H|CTRG|Countertop Range|1
1|1|1|0|0|0|1|APPLIANCES|I|REFG|Refrigerator|1
1|1|1|0|0|0|1|APPLIANCES|J|FRZR|Freezer|1
1|1|1|0|0|0|1|APPLIANCES|K|WASH|Washer|1
1|1|1|0|0|0|1|APPLIANCES|L|DRYR|Dryer|1
1|1|1|0|0|0|1|APPLIANCES|M|WTTR|Water Treatment|1
1|1|1|0|0|0|1|APPLIANCES|N|OTHR|Other (See Remarks)|1
1|1|1|0|0|0|1|APPLIANCES|O|NONE|None|1
1|1|1|0|0|0|1|APPLIANCES|P||Refrigerator - ENERGY STAR|1
0|0|1|0|0|0|0|APPLIANCES|P||Dishwasher Drawer|0
0|0|1|0|0|0|0|APPLIANCES|Q||Dishwasher - ENERGY STAR|0
1|1|1|0|0|0|1|APPLIANCES|Q||Refrigerator - Wine Storage|1
1|1|1|0|0|0|1|APPLIANCES|R||Dryer - ENERGY STAR|1
0|0|1|0|0|0|0|APPLIANCES|R||Dryer - ENERGY STAR|0
0|0|1|0|0|0|0|APPLIANCES|S||Oven - ENERGY STAR|0
1|1|1|0|0|0|1|APPLIANCES|S||Dishwasher - ENERGY STAR|1
1|1|1|0|0|0|1|APPLIANCES|T||Washer - ENERGY STAR|1
0|0|1|0|0|0|0|APPLIANCES|T||Range - ENERGY STAR|0
1|1|1|0|0|0|1|APPLIANCES|U||Freezer - Upright|1
0|0|1|0|0|0|0|APPLIANCES|U||Range Top|0
1|1|1|0|0|0|1|APPLIANCES|V||Washer / Dryer Combo|1
0|0|1|0|0|0|0|APPLIANCES|V||Icemaker|0
1|1|1|0|0|0|1|APPLIANCES|W||Vacuum System|1
1|1|1|0|0|0|1|APPLIANCES|X||Vacuum System - Rough-in|1
0|0|1|0|0|0|0|APPLIANCES|X||Range top - ENERGY STAR|0
1|1|1|0|0|0|1|APPLIANCES|Y||Vent Hood|1
1|1|1|0|0|0|1|APPLIANCES|Z||Water Softener|1
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|1||Beach Rights|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|2||Dock/Mooring|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|3||Extra Storage|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|4||Refuse Removal|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|5||Garden Area|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|6||Valet Parking|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|7||N/A|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|8||Air Conditioning|0
0|0|0|0|1|0|0|ASSC_FEE_INCLUDES|9||Parking|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|A||Heat|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|B||Hot Water|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|C||Electric|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|D||Gas|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|E||Water|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|F||Sewer|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|G||Master Insurance|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|H||Security|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|I||Swimming Pool|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|J||Laundry Facilities|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|K||Elevator|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|L||Exterior Maintenance|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|M||Road Maintenance|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|N||Landscaping|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|O||Snow Removal|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|P||Golf Course|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|Q||Putting Green|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|R||Tennis Court|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|S||Playground|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|T||Park|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|U||Recreational Facilities|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|V||Paddle Tennis|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|W||Exercise Room|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|X||Sauna/Steam|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|Y||Clubroom|0
0|1|0|0|1|0|0|ASSC_FEE_INCLUDES|Z||Walking/Jogging Trails|0
0|1|0|0|0|0|1|ASSC_POOL|N||No|0
0|1|0|0|0|0|1|ASSC_POOL|U||Unknown|0
0|1|0|0|0|0|1|ASSC_POOL|Y||Yes|0
0|1|0|0|0|0|1|ASSOC_SECURITY|A||Fenced|0
0|1|0|0|0|0|1|ASSOC_SECURITY|B||Intercom|0
0|1|0|0|0|0|1|ASSOC_SECURITY|C||TV Monitor|0
0|1|0|0|0|0|1|ASSOC_SECURITY|D||Doorman|0
0|1|0|0|0|0|1|ASSOC_SECURITY|E||Private Guard|0
0|1|0|0|0|0|1|ASSOC_SECURITY|F||Security Gate|0
0|1|0|0|0|0|1|ASSOC_SECURITY|G||Other (See Remarks)|0
0|1|0|0|0|0|1|ASSOC_SECURITY|H||Concierge|0
1|1|1|1|1|1|0|AUCTION_BUYERS_PREMIUM|N||No|1
1|1|1|1|1|1|0|AUCTION_BUYERS_PREMIUM|Y||Yes|1
1|1|1|1|1|1|0|AUCTION_SELLERS_CONFIRMATION|N||No|1
1|1|1|1|1|1|0|AUCTION_SELLERS_CONFIRMATION|Y||Yes|1
1|1|1|0|0|1|1|BASEMENT|N||No|1
0|0|0|0|0|0|1|BASEMENT|U||Unknown|0
1|1|1|0|0|1|1|BASEMENT|Y||Yes|1
1|1|1|0|0|1|1|BASEMENT_FEATURE|A|FULL|Full|1
1|1|1|0|0|1|1|BASEMENT_FEATURE|B|PART|Partial|1
1|1|1|0|0|0|1|BASEMENT_FEATURE|C|CRSP|Crawl|1
0|0|0|0|0|1|0|BASEMENT_FEATURE|C||Mixed|0
1|1|1|0|0|0|1|BASEMENT_FEATURE|D|FIND|Finished|1
0|0|0|0|0|1|0|BASEMENT_FEATURE|D||Other (See Remarks)|0
1|1|1|0|0|1|1|BASEMENT_FEATURE|E|PFIN|Partially Finished|1
1|0|1|0|0|1|0|BASEMENT_FEATURE|F|WALK|Walk Out|1
1|1|1|0|0|1|1|BASEMENT_FEATURE|G|IACC|Interior Access|1
1|1|1|0|0|0|1|BASEMENT_FEATURE|H|GACC|Garage Access|1
1|1|1|0|0|1|1|BASEMENT_FEATURE|I|BULK|Bulkhead|1
1|0|1|0|0|1|0|BASEMENT_FEATURE|J|PUMP|Sump Pump|1
1|1|1|0|0|0|1|BASEMENT_FEATURE|K|RSYS|Radon Remediation System|1
1|1|1|0|0|1|1|BASEMENT_FEATURE|L|DIRT|Dirt Floor|1
1|1|1|0|0|1|1|BASEMENT_FEATURE|M|CONC|Concrete Floor|1
1|1|1|0|0|1|1|BASEMENT_FEATURE|N|SLAB|Slab|1
0|0|0|0|0|1|0|BASEMENT_FEATURE|O||Crawl|0
0|0|0|0|0|1|0|BASEMENT_FEATURE|P||Finished|0
1|1|1|1|0|0|0|BEACH_DESCRIPTION|A||Bay|1
1|1|1|1|0|0|0|BEACH_DESCRIPTION|B||Creek|1
1|1|1|1|0|0|0|BEACH_DESCRIPTION|C||Harbor|1
1|1|1|1|0|0|0|BEACH_DESCRIPTION|D||Lake/Pond|1
1|1|1|1|0|0|0|BEACH_DESCRIPTION|E||Ocean|1
1|1|1|1|0|0|0|BEACH_DESCRIPTION|F||River|1
1|1|1|1|0|0|0|BEACH_DESCRIPTION|G||Other (See Remarks)|1
1|1|1|1|0|0|0|BEACH_DESCRIPTION|H||Access|1
1|1|1|1|0|0|0|BEACH_DESCRIPTION|I||Direct Access|1
1|1|1|1|0|0|0|BEACH_DESCRIPTION|J||Frontage|1
1|1|1|1|0|0|0|BEACH_DESCRIPTION|K||Sound|1
1|1|1|1|0|0|0|BEACH_DESCRIPTION|L||Walk to|1
1|1|1|1|0|0|1|BEACH_MILES_TO|A||0 to 1/10 Mile|1
1|1|1|1|0|0|1|BEACH_MILES_TO|B||1/10 to 3/10|1
1|1|1|1|0|0|1|BEACH_MILES_TO|C||3/10 to 1/2 Mile|1
1|1|1|1|0|0|1|BEACH_MILES_TO|D||1/2 to 1 Mile|1
1|1|1|1|0|0|1|BEACH_MILES_TO|E||1 to 2 Mile|1
1|1|1|1|0|0|1|BEACH_MILES_TO|U||Unknown|1
1|1|1|1|0|0|0|BEACH_OWNERSHIP|A||Private|1
1|1|1|1|0|0|0|BEACH_OWNERSHIP|B||Public|1
1|1|1|1|0|0|0|BEACH_OWNERSHIP|C||Association|1
1|1|1|1|0|0|0|BEACH_OWNERSHIP|D||Deeded Rights|1
1|1|1|1|0|0|0|BEACH_OWNERSHIP|E||Other (See Remarks)|1
1|1|1|1|0|0|0|BEACHFRONT_FLAG|N||No|1
1|1|1|1|0|0|0|BEACHFRONT_FLAG|Y||Yes|1
0|0|0|0|0|1|0|BU_TYPE|A||Hotel/Motel|0
0|0|0|0|0|1|0|BU_TYPE|B||Restaurant w/Liquor|0
0|0|0|0|0|1|0|BU_TYPE|C||Restaurant w/out Liquor|0
0|0|0|0|0|1|0|BU_TYPE|D||Beauty Services|0
0|0|0|0|0|1|0|BU_TYPE|E||Retail/Wholesale|0
0|0|0|0|0|1|0|BU_TYPE|F||Service|0
0|0|0|0|0|1|0|BU_TYPE|G||Laundry/Dryclean|0
0|0|0|0|0|1|0|BU_TYPE|H||Health Center|0
0|0|0|0|0|1|0|BU_TYPE|I||Bar/Lounge|0
0|0|0|0|0|1|0|BU_TYPE|J||Package Store|0
0|0|0|0|0|1|0|BU_TYPE|K||Convenience/Grocery|0
0|0|0|0|0|1|0|BU_TYPE|L||Auto Retail|0
0|0|0|0|0|1|0|BU_TYPE|M||Other (See Remarks)|0
0|0|0|0|0|1|0|BU_TYPE|N||Concessions|0
0|0|0|0|0|1|0|BUILDING_CONSTRUCTION|A||Brick|0
0|0|0|0|0|1|0|BUILDING_CONSTRUCTION|B||Frame|0
0|0|0|0|0|1|0|BUILDING_CONSTRUCTION|C||Masonry|0
0|0|0|0|0|1|0|BUILDING_CONSTRUCTION|D||Steel|0
0|0|0|0|0|1|0|BUILDING_CONSTRUCTION|E||Pre-Cast|0
0|0|0|0|0|1|0|BUILDING_CONSTRUCTION|F||Historic|0
0|0|0|0|0|1|0|BUILDING_CONSTRUCTION|G||Subdivided|0
0|0|0|0|0|1|0|BUILDING_CONSTRUCTION|H||Clear Span|0
0|0|0|0|0|1|0|BUILDING_CONSTRUCTION|I||Other (See Remarks)|0
0|0|0|1|0|0|0|CABLE_AVAILABLE|N||No|0
0|0|0|1|0|0|0|CABLE_AVAILABLE|U||Unknown|0
0|0|0|1|0|0|0|CABLE_AVAILABLE|Y||Yes|0
0|1|0|0|0|0|0|CC_TYPE|A||Condo|0
0|1|0|0|0|0|0|CC_TYPE|B||Co-op|0
0|1|0|0|0|0|0|CC_TYPE|C||Condex|0
0|0|0|0|1|0|0|CI_TYPE|A||Commercial|0
0|0|0|0|1|0|0|CI_TYPE|B||Industrial|0
0|0|0|0|1|0|0|CI_TYPE|C||5+ Residential|0
0|0|0|0|1|0|0|CI_TYPE|D||Land|0
0|0|0|0|1|0|0|CI_TYPE|E||Office|0
0|1|0|0|0|0|0|COMPLEX_COMPLETE|N||No|0
0|1|0|0|0|0|0|COMPLEX_COMPLETE|U||Unknown|0
0|1|0|0|0|0|0|COMPLEX_COMPLETE|Y||Yes|0
0|1|0|0|1|0|1|CONDO_ASSOCIATION|N||No|0
0|0|0|0|1|0|0|CONDO_ASSOCIATION|U||Unknown|0
0|1|0|0|1|0|1|CONDO_ASSOCIATION|Y||Yes|0
0|0|0|0|1|0|0|CONSTRUCTION|A||Aluminum|0
1|1|1|0|0|0|0|CONSTRUCTION|A|FRAM|Frame|1
1|1|1|0|1|0|0|CONSTRUCTION|B|BRCK|Brick|1
1|1|1|0|1|0|0|CONSTRUCTION|C|STON|Stone/Concrete|1
1|1|1|0|0|0|0|CONSTRUCTION|D|BLCK|Block|1
0|0|0|0|1|0|0|CONSTRUCTION|D||Frame|0
1|1|1|0|0|0|0|CONSTRUCTION|E|LOG|Log|1
0|0|0|0|1|0|0|CONSTRUCTION|E||Mason|0
1|1|1|0|0|0|0|CONSTRUCTION|F|MODL|Modular|1
0|0|0|0|1|0|0|CONSTRUCTION|F||Steel|0
1|1|1|0|0|0|0|CONSTRUCTION|G|P&BM|Post & Beam|1
0|0|0|0|1|0|0|CONSTRUCTION|G||Stucco|0
1|1|1|0|1|0|0|CONSTRUCTION|H|OTHR|Other (See Remarks)|1
1|1|1|0|0|0|0|CONSTRUCTION|I||Adobe|1
1|1|1|0|0|0|0|CONSTRUCTION|J||Aerated Autoclaved Concrete|1
1|1|1|0|0|0|0|CONSTRUCTION|K||Barn board|0
1|1|1|0|0|0|0|CONSTRUCTION|L||Cob|1
1|1|1|0|0|0|0|CONSTRUCTION|M||Conventional (2x4-2x6)|1
1|1|1|0|0|0|0|CONSTRUCTION|N||Cork|1
1|1|1|0|0|0|0|CONSTRUCTION|O||Earth ship|1
1|1|1|0|0|0|0|CONSTRUCTION|P||Other / Hybrid|1
1|1|1|0|0|0|0|CONSTRUCTION|Q||Rammed Earth|1
1|1|1|0|0|0|0|CONSTRUCTION|R||Reuse / Exchange|1
1|1|1|0|0|0|0|CONSTRUCTION|S||Straw bale|1
1|1|1|0|0|0|0|CONSTRUCTION|T||Timber Frame|1
1|1|1|0|0|0|0|CONSTRUCTION|U||Vertical Siding|1
1|1|1|0|0|0|0|CONSTRUCTION|V||Cement Board|1
1|1|1|0|0|0|0|COOLING|A|CAIR|Central Air|1
1|1|1|0|0|0|0|COOLING|B|WAIR|Window AC|1
1|1|1|0|0|0|0|COOLING|C|WLAR|Wall AC|1
1|1|1|0|0|0|0|COOLING|D|HPMP|Heat Pump|1
1|1|1|0|0|0|0|COOLING|E|2UNT|2 Units|1
1|1|1|0|0|0|0|COOLING|F|3+UN|3 or More|1
0|1|1|0|0|0|0|COOLING|G||Common|0
1|0|0|0|0|0|0|COOLING|G|OTHR|Other (See Remarks)|1
0|1|1|0|0|0|0|COOLING|H||Individual|0
1|0|0|0|0|0|0|COOLING|H|NONE|None|1
0|1|1|0|0|0|0|COOLING|I||Unit Control|0
0|1|1|0|0|0|0|COOLING|J||Fan Coil|0
0|1|1|0|0|0|0|COOLING|K||Other (See Remarks)|0
0|1|1|0|0|0|0|COOLING|L||None|0
1|1|1|0|0|0|0|COOLING|M||Active Solar|1
1|1|1|0|0|0|0|COOLING|N||Geothermal Heat Pump|1
1|1|1|0|0|0|0|COOLING|O||High Seer Heat Pump (12+)|1
1|1|0|0|0|0|0|COOLING|P||Overhangs Abv South Facing Windows|1
1|1|1|0|0|0|0|COOLING|Q||Passive Cooling|1
1|1|1|0|0|0|0|COOLING|R||Swamp Cooler (Evaporative)|1
1|1|1|0|0|0|0|COOLING|S||Wind|1
0|0|0|0|0|0|1|DEPOSIT_REQD|N||No|0
0|0|0|0|0|0|1|DEPOSIT_REQD|Y||Yes|0
1|1|1|1|1|1|1|DISCLOSURE|N||No|1
1|1|1|1|1|1|1|DISCLOSURE|Y||Yes|1
0|0|0|0|1|0|0|DIVIDABLE|N||No|0
0|0|0|0|1|0|0|DIVIDABLE|U||Unknown|0
0|0|0|0|1|0|0|DIVIDABLE|Y||Yes|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|A||Legal Description|0
0|1|0|0|0|0|0|DOCUMENTS_ON_FILE|A||Master Deed|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|A||Site Plan|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|B||Aerial Photo|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|B||Perc Test|0
0|1|0|0|0|0|0|DOCUMENTS_ON_FILE|B||Unit Deed|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|C||21E Certificate|0
0|1|0|0|0|0|0|DOCUMENTS_ON_FILE|C||Rules & Regs|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|C||Soil Survey|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|D||Environmental Site Assessment|0
0|1|0|0|0|0|0|DOCUMENTS_ON_FILE|D||Master Plan|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|D||Septic Design|0
0|1|0|0|0|0|0|DOCUMENTS_ON_FILE|E||Management Association Bylaws|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|E||Septic Design|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|E||Subdivision Approval|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|F||Building Permit|0
0|1|0|0|0|0|0|DOCUMENTS_ON_FILE|F||Floor Plans|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|F||Investment Analysis|0
0|1|0|0|0|0|0|DOCUMENTS_ON_FILE|G||Association Financial Statements|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|G||Feasibility Study|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|G||Land Survey|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|H||Arch Drawings|0
0|1|0|0|0|0|0|DOCUMENTS_ON_FILE|H||Certificate of Insurance|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|H||Topographical Map|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|I||Load Stress Analysis|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|I||Order of Conditions|0
0|1|0|0|0|0|0|DOCUMENTS_ON_FILE|I||Other (See Remarks)|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|J||Restrictive Covenants|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|J||Tax Return|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|K||Accountant Provided|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|K||Leases|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|L||Environmental Impact Study|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|L||Owner Provided|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|M||May Show Books|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|M||Recorded Plat|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|N||Pro. Forma|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|N||Soil Survey|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|O||Aerial Photo|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|O||Limited Information|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|P||Appraisal|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|P||Lease Agreement|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|Q||Blueprints|0
0|0|0|0|0|1|0|DOCUMENTS_ON_FILE|Q||None|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|R||Drawings|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|S||Brochure|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|T||Other (See Remarks)|0
0|0|0|1|0|0|0|DOCUMENTS_ON_FILE|U||None|0
0|0|0|0|1|0|0|EASEMENTS|N||No|0
0|0|0|0|1|0|0|EASEMENTS|U||Unknown|0
0|0|0|0|1|0|0|EASEMENTS|Y||Yes|0
1|1|1|0|0|0|0|ELECTRIC_FEATURE|A||110 Volts|1
0|0|0|1|0|0|0|ELECTRIC_FEATURE|A||On-Site|0
1|1|1|0|0|0|0|ELECTRIC_FEATURE|B||220 Volts|1
0|0|0|1|0|0|0|ELECTRIC_FEATURE|B||At Street|0
1|1|1|0|0|0|0|ELECTRIC_FEATURE|C||Fuses|1
0|0|0|1|0|0|0|ELECTRIC_FEATURE|C||Nearby|0
1|1|1|0|0|0|0|ELECTRIC_FEATURE|D||Circuit Breakers|1
0|0|0|1|0|0|0|ELECTRIC_FEATURE|D||Underground|0
1|1|1|0|0|0|0|ELECTRIC_FEATURE|E||60 Amps/Less|1
0|0|0|1|0|0|0|ELECTRIC_FEATURE|E||None|0
1|1|1|0|0|0|0|ELECTRIC_FEATURE|F||100 Amps|1
0|0|0|1|0|0|0|ELECTRIC_FEATURE|F||Other (See Remarks)|0
1|1|1|0|0|0|0|ELECTRIC_FEATURE|G||150 Amps|1
1|1|1|0|0|0|0|ELECTRIC_FEATURE|H||200 Amps|1
0|0|1|0|0|0|0|ELECTRIC_FEATURE|I||Common|0
1|1|0|0|0|0|0|ELECTRIC_FEATURE|I||Other (See Remarks)|1
0|0|1|0|0|0|0|ELECTRIC_FEATURE|J||Individually Metered|0
0|0|1|0|0|0|0|ELECTRIC_FEATURE|K||Varies per Unit|0
0|0|1|0|0|0|0|ELECTRIC_FEATURE|L||Other (See Remarks)|0
1|1|1|0|0|0|0|ELECTRIC_FEATURE|M||Knob & Tube Wiring|1
0|1|0|0|1|1|1|ELEVATOR|N||No|0
0|1|0|0|1|1|1|ELEVATOR|U||Unknown|0
0|1|0|0|1|1|1|ELEVATOR|Y||Yes|0
1|1|1|0|0|0|0|ENERGY_FEATURES|A||Insulated Windows|1
1|1|1|0|0|0|0|ENERGY_FEATURES|B||Storm Windows|1
1|1|1|0|0|0|0|ENERGY_FEATURES|C||Insulated Doors|1
1|1|1|0|0|0|0|ENERGY_FEATURES|D||Storm Doors|1
1|1|1|0|0|0|0|ENERGY_FEATURES|E||Attic Vent Elec.|1
1|1|1|0|0|0|0|ENERGY_FEATURES|F||Solar Features|1
1|1|1|0|0|0|0|ENERGY_FEATURES|G||Partial|1
1|1|1|0|0|0|0|ENERGY_FEATURES|H||Prog. Thermostat|1
1|1|0|0|0|0|0|ENERGY_FEATURES|I||Other (See Remarks)|1
0|0|1|0|0|0|0|ENERGY_FEATURES|I||Varies per Unit|0
0|0|1|0|0|0|0|ENERGY_FEATURES|J||Other (See Remarks)|0
1|1|0|0|0|0|0|ENERGY_FEATURES|K||Backup Generator|1
1|1|1|1|1|1|1|ENTRY_ONLY|N||No|1
1|1|1|1|1|1|1|ENTRY_ONLY|Y||Yes|1
0|0|0|0|0|1|0|EQUIP_LIST_AVAIL|N||No|0
0|0|0|0|0|1|0|EQUIP_LIST_AVAIL|U||Unknown|0
0|0|0|0|0|1|0|EQUIP_LIST_AVAIL|Y||Yes|0
0|0|0|0|1|0|0|EXCHANGE|N||No|0
0|0|0|0|1|0|0|EXCHANGE|Y||Yes|0
0|0|0|0|1|0|0|EXPANDABLE|N||No|0
0|0|0|0|1|0|0|EXPANDABLE|U||Unknown|0
0|0|0|0|1|0|0|EXPANDABLE|Y||Yes|0
0|0|1|0|0|0|0|EXPENSES_SOURCE|A||Tax Return|0
0|0|1|0|0|0|0|EXPENSES_SOURCE|B||Estimated|0
0|0|1|0|0|0|0|EXPENSES_SOURCE|C||Accountant Provided|0
0|0|1|0|0|0|0|EXPENSES_SOURCE|D||Owner Provided|0
0|0|1|0|0|0|0|EXPENSES_SOURCE|E||Projected|0
0|0|1|0|0|0|0|EXPENSES_SOURCE|F||Limited Information|0
0|0|1|0|0|0|0|EXPENSES_SOURCE|G||Pro. Forma Available|0
0|0|1|0|0|0|0|EXPENSES_SOURCE|H||Not Available|0
0|0|1|0|0|0|0|EXPENSES_SOURCE|I||Other (See Remarks)|0
1|1|1|0|0|0|0|EXTERIOR|A|CLAP|Clapboard|1
1|1|1|0|0|0|0|EXTERIOR|B|SHNG|Shingles|1
1|1|1|0|0|0|0|EXTERIOR|C|WOOD|Wood|1
1|1|1|0|0|0|0|EXTERIOR|D|ALUM|Aluminum|1
1|1|1|0|0|0|0|EXTERIOR|E|VNYL|Vinyl|1
1|1|1|0|0|0|0|EXTERIOR|F|ASBT|Asbestos|1
1|1|1|0|0|0|0|EXTERIOR|G|MASN|Masonite|1
1|1|1|0|0|0|0|EXTERIOR|H|LOG|Log|1
1|1|1|0|0|0|0|EXTERIOR|I|BRCK|Brick|1
1|1|1|0|0|0|0|EXTERIOR|J|STON|Stone|1
1|1|1|0|0|0|0|EXTERIOR|K|SHAK|Shake|1
