ID|NAME|PHONE
A01307|Crown Realty|781-3371104
A01310|Re/Max Of The South Shore|617-7701444
A01311|Gallery 360, Scituate|617-5454900
A01312|B & S Real Estate|617-3357900
A01313|American Realty|508-5872887
A01350|Atlantic Shores Realty Corp.|617-6451662
A01402|Barry Realty|781-3376110
A01501|New Home Network|781-8268828
A01601|Jade Investment Consultants|508-6314856
A01701|Winokur Associates|508-7463118
A01801|ERA Belsito & Associates, Inc.|508-7468100
A01901|Djust Realty|781-8710712
A02001|Clay Real Estate|617-7495963
A02101|Accent Real Estate|781-9346752
A02201|Era Babb Realty|781-9820700
A02301|John G. Bulman|617-7869703
A02401|Lydon Real Estate|617-2933886
A02501|Bay Path Real Estate Associate|508-7463661
A02601|Jamie A. Reardon Real Estate|508-8880130
A02801|S. R. E. Corporation|781-8219599
A02901|J.D. Real Estate|617-3406946
A03401|Bay State Realty|781-3376252
A03501|North River Realty|781-7100903
A03601|Elouise A. Troup, Inc.|617-8432914
A03701|Dewitt, Duncan & Decastro Co.|781-8349600
A03801|Pamela C. McLeod, Realtor|781-8265641
A03901|Dwyer & Mullin R. E.|781-8340151
A04001|The Plymouth Group|508-8301900
A04002|Lauria Real Estate|617-8432782
A04101|Donald L. Ford, REALTOR|781-2932545
A05001|Hatherly Realty|781-8783629
A05101|Coldwell Banker Plymouth Port|508-7460051
A05302|Coldwell Banker Residential Brokerage - Hingham|781-7494300
A05303|Hunneman & Co./cb - Cohasset|781-3839202
A05304|Hunneman & Co/ Coldwell Banker|781-5454900
A05305|Coldwell Banker Residential Brokerage - Norwell|781-8714881
A05307|Coldwell Banker Residential Brokerage - Plymouth|508-7460051
A05501|Century 21 Paul Jevne, Inc.|781-6592555
A05701|George P. Kelly & Sons|781-5455292
A05801|Tobie Shapiro Real Estate Inc.|781-8286080
A06301|Dewolfe-Hingham|781-7494300
A06302|Dewolfe-Norwell|781-6597955
A06303|Dewolfe-Marshfield|781-8371188
A06304|Dewolfe-Duxbury|781-9340133
A06306|Dewolfe New England|508-5806000
A06601|Coldwell Banker So. Shore|781-8372832
A07001|Portside Properties|617-8262056
A07201|David A. Mayers Real Estate|781-6597052
A07601|Richardson & Collins|508-3789322
A09001|Trufant Real Estate|781-8782478
A09101|Louis F. Freitas Associates|508-       
A09201|John D. Walsh Jr., Realtor|781-2934004
A09401|Re/Max Results|617-3352002
A09801|Vin Doyle Real Estate Co., Inc|781-5454600
A09901|Raymond & Son REALTORS|781-3371894
A10010|Flagship Realty Group, Inc.|781-9259810
A10050|Nolan Realty|781-3406177
A10080|Century 21 Hughes & Carey|508-8883704
A10700|Rosen Realty, Inc.|508-5802233
A10920|Silva Real Estate|508-3788890
A10950|Wexford Realty|781-6590710
A11503|buyer1st.com   Karcher Family|781-7497100
A12401|Howard Back Realty|781-8482433
A12601|Lesko Kelly Associates|781-6592362
A12701|Thorndike Development|781-9827122
A12801|Haufler Associates Attorneys|781-8713800
A12901|Hingham Real Estate Co., Inc.|781-7492244
A13001|American Realty Exchange, Inc.|508-7466239
A13101|Mulligan & Lionhead Real Estat|781-8785550
A13201|Thomas M. Meehan, Realtor Gri|781-6597800
A13401|Clayton Stone Realty|781-8713085
A14000|Jack Conway & Co., Inc.|617-8715587
A14001|Conway - Norwell|781-8715587
A14002|Conway - Cohasset|781-3831800
A14003|Conway - Duxbury|781-9346565
A14004|Conway - Hingham|781-7491600
A14005|Conway - Hanson|781-2939525
A14006|Conway - Hanover|781-8263131
A14007|Conway - Marshfield|781-8372877
A14008|Conway - Plymouth|508-7467500
A14009|Conway - Scituate|781-5454100
A14010|Conway - Pembroke|781-2941147
A14015|Jack Conway & Co., Inc.|   -4475571
A14016|Jack Conway Co., Inc.|   -       
A14020|Conway - Commercial|617-8710080
A14050|Conway - Headquarters|781-8710080
A15801|Harborview Realty|781-8376331
A16001|Century 21 Walker Bros.|781-9342500
A16601|Jackson, Ltd.|781-6594411
A17601|R.H. Burpee Co.|508-7476900
A18401|Charter Realty Co.|617-8437467
A18501|Harborside Realty|781-5456139
A18601|Wisefield Real Estate|617-9616601
A18701|Prudential Prime Properties|508-7461154
A18801|Century 21 So.shore Associates|781-8376551
A18901|Gull Realty|781-8349898
A19401|Upper Cape Realty|508-7592121
A19801|Alden Associates Realty, Inc.|781-8269525
A20301|Accord Realty Associates, Ltd.|617-9821515
A20401|Mass Bay Associates|781-8373800
A21001|Mark Wenham Realty Co.|781-9346995
A22201|The Tucker Agency|508-8664559
A22401|Duxbury Homes, Inc. Realtors|781-9346333
A22402|Buyers Realty|617-9346222
A22411|Bayside Homes, B H & G|781-5858447
A22801|Roger S. Randall Real Estate|508-7464293
A22901|M & R Associates|781-7498200
A23401|Home Center Real Estate|781-7498833
A23601|Hingham Centre, Ltd.|781-7493650
A23800|Hallmark 100 Properties|   -       
A23801|Hallmark 100 Properties, Ltd.|781-3831888
A23802|Hallmark 100 Properties, Ltd.|781-5451888
A23803|Hallmark 100 Properties, Ltd.|781-7491888
A23804|Hallmark 100 Properties, Ltd.|781-9258585
A23851|Harbour Realty|508-7477653
A23861|Century 21 Classic Gold Realty|508-8668100
A23871|Miller Properties|781-3832626
A23881|Pomeroy Associates R. E.|508-7477344
A23901|Home Buyer's Real Estate|781-9348295
A23911|Bay Shores Realty, Ltd.|508-2244403
A23921|Rock Real Estate & Appraisal|508-7476827
A23950|R E Sales Professional, Inc.|508-7467700
A24101|Duxbury Sails Real Estate Co.|781-9345060
A24201|Fireside Realty, Inc.|781-8372841
A24401|Macdonald & Wood Sotheby's International Realty|781-9342000
A24801|Anchor Realty, Inc.|508-2249100
A25001|Country Store Realty|781-5855188
A25111|Country Store Realty|617-5855552
A25501|Cranberry Realty|781-8378800
A27202|Township Homes, Inc.|508-8667301
A27701|Martin A. Hunt Real Estate|781-8344032
A27801|Hometown USA|617-5935644
A28301|Century 21 Courtlyn R.e.|508-6977177
A28401|Barr Realty|508-9959888
A28901|Preferred Properties|617-8714881
A29301|Century 21 Homes By Heritage|781-3315596
A29401|Frank Pietroski, Realtor|781-9828679
A29901|Seaside Homes, Inc.|781-8371920
A30001|Barstows Landing Realty|781-8261617
A30501|Beal Realty|508-8669516
A30701|Hearthside Associates, Ltd.|781-7187797
A30901|Joseph A Lucido Real Estate|508-8882600
A32001|Realty Choice, Inc.|781-8715633
A32050|James Landing|781-5440488
A32101|Elaine Lefever Real Estate|617-8346046
A32201|Mayflower Realty, Inc.|508-7471047
A32501|James F Sullivan Real Estate|508-2384402
A33601|C. F. Turner Associates|781-8268644
A33624|Realty Star Associates|508-7467788
A34601|Cliffside Realty|508-7466611
A35201|V.I.P. Properties Inc.|781-3832229
A35801|The Hastings Company, Inc.|781-8781067
A36001|Plymouth Village, Inc.|508-7464540
A36701|Trainer Realty|781-2937990
A37301|Prime Sites Inc.|781-9626373
A37801|Millpond Builders, Inc.|781-8377566
A38101|Bay State Realty Group|781-5858626
A38301|Papagno Real Estate|508-3783936
A38401|Cherryfield Realty|508-9475285
A39901|Helen M. Smith Real Estate|781-8267803
A41301|J.D. Chute & Associates, Inc.|508-7475900
A41350|Chute & Payzant Real Estate|508-7475900
A41401|Chilmark Realty|781-8269311
A41501|Bartlett Realty|781-5852257
A41701|Harbor Point Realty|508-3414645
A41801|Springer Realty|781-5859524
A42101|Betsy Hines REALTORS, LLC|781-8370306
A42901|South Group, Realtors|617-8713326
A43201|William Hughes, Real Estate|617-7494738
A43501|Century 21 S. Shore Assoc.,inc|781-5857300
A43901|Key Properties|617-5857565
A44001|Mcsharry Realty|781-8784026
A44095|Century 21 Hughes & Carey|781-5857300
A44101|A/D/O Realty|781-8261500
A44301|Plymouth Sails Realty, LLC|508-7476003
A44401|Gail M. Taylor Real Estate|617-8378371
A44901|Houghton And Houghton|781-9345934
A45101|J. O Gara Realty|781-8348883
A45301|Carr Associates, Realtors|508-9464466
A45501|Care Realty|508-8665748
A45901|New Horizons Real Estate|781-5857337
A46101|Era Rademacher Realty|617-8342900
A46301|Ken's Corner Realty|508-7462925
A46401|Developers Marketing Svs. Inc.|508-7464458
A46901|Prudential Hunter Re Brokerage|781-6590433
A47001|The Reynolds Company|781-3836868
A47101|Hingham Woods Realty|781-7492762
A47201|Mulligan, Inc. Real Estate|508-8331113
A47301|Rainbow Realty|617-8261460
A47501|Re/Max Specialists|617-7408900
A47701|Snug Harbor Real Estate|781-9347200
A47801|Laurien Enos, Realtor|508-7465696
A47901|Realty Choice Halifax R. E.|617-2944291
A48001|Burke Associates, Inc.|781-8263103
A48101|Atlantic Properties|508-7462500
A48201|Century Realty|781-8269533
A48301|Surfside Realty|781-5455754
A48401|Fic Properties Brokerage Corp.|401-4335124
A48421|Hannon-Ryan Real Estate|508-7460030
A48502|Walsh Pagliccia REALTORS|781-7498881
A48601|O Neill Real Estate|781-8370943
A48701|Country Classics Real Estate|781-3831832
A48801|Muriel Carr Real Estate|617-8343273
A48901|Richlyn Realty|508-7475252
A49001|Petersen Real Estate, Inc.|617-3831900
A49101|Tarantino Real Estate|781-5821111
A49201|Signature Homes|617-9340105
A49301|Country Homes Realty, Inc.|781-8265558
A49401|RE/MAX Elite|781-6592500
A49501|Rosen Realty Inc.|781-4471111
A49601|Black Horse Realty|617-3839388
A49701|Buckingham Real Estate|508-7463666
A49801|Riverside Realty|781-2487373
A49901|Briarwood Real Estate|508-2308200
A50901|Century 21 Professionals|781-8486062
A51101|BK Realty Development, Inc.|508-2869365
A51201|Bay State Properties, Inc.|781-8371943
A51301|South Shore At Home Realty Inc|508-2090318
A51401|Albritton, June REALTOR|617-4861304
A51501|Stowell Realty|781-8341254
A51701|Quality Property Associates|781-5454277
A51801|Donna Houghton Realtors|781-5443579
A51851|Robert P. Wood Co., Inc.|781-8344464
A51951|B F Sylvester R. E.|781-9824000
A52000|Gerald F. Williamson, Esq.|508-5882284
A52100|Bowen Building & Realty, Inc.|781-3318800
A52250|E. T. Dwyer Real Estate|781-8431111
A52350|River View Realty|781-8344147
A70001|Laurie A. Barrett|508-2458972
A70002|Tony Massimino, REALTORS|781-8262211
A70003|Blue Horizon Realty, Inc|781-3833557
A70004|English Appraisal Services|781-5821146
A70005|Exit Realty Plus|508-5880088
A70006|Spectrum Realty|508-2951616
A70007|Muscato Realty|508-8667928
A70008|USLISTINGS.BIZ|781-7897152
A70009|Barnstable Appraisal Services|508-4281730
A70010|Priscilla Stolba RE|508-4771108
A70011|Boisvert Realty|508-5480315
A70012|Innovative Real Estate Group|781-2948100
A70038|Smith & Company|781-8713900
A70105|Property Financial Services|401-7372800
A70136|Dunn & Co. R E Appraisers|781-5821113
A70552|K & K Quality Appraisals, Inc.|781-7540310
A80002|Copperwood Real Estate,Inc.|508-2382650
A80003|Century 21 Cobb-Nowak|508-7752121
A80004|Pomeroy Assoc., R.E. Brokerage|508-9969680
A80005|Winokur Associates, Inc.|781-8267080
A80006|Flagship Realty Group|617-7457880
A80007|Castle Real Estate, Inc.|508-8889449
A80008|Starboard Real Estate Sales|781-8377878
A80009|Flagship Realty Group, Inc.|781-9259810
A80010|Summit Real Estate|508-8661005
A80011|Home Center Sotheby's International Realty|781-3838835
A80012|Raven|877-2973343
A80013|Carlson GMAC Real Estate|603-6738000
A80014|Real Estate Advisors and Consultants|781-2649070
A80015|Custom House Realty Group, LLC|781-3830087
A80016|RE/MAX Classic|508-2558666
A80017|Crabtree Marketing|978-7724281
A80018|Old Cape Sotheby's International Realty|508-2556000
A80019|Prudential Prime Properties/ Mayflower Realty|508-7471047
A80020|ERA Martin Surette Realty - Falmouth|508-4956900
A80021|Century 21 Alliance Realty|781-8294210
A80022|Next Level Landmark Realty The Parshley Team|781-3446537
A80023|Crabtree Marketing|774-2260476
A80024|The Vineyard Realty Group|508-6273030
A80025|Red House & Associates|781-8266436
A80026|Prime Realty Group|781-8299292
A80027|Barton property Group|508-4440249
A80028|South Shore Realty Exchange|617-3207177
A80029|Cape Coast Realty 1|508-5633332
A80030|Realty Professionals of MA|774-4139623
A80031|Gerry Romano Realty|508-3351520
A80032|Cost Less Realty|508-8899901
A80033|Rose Realty|508-3264386
A80034|Engel and Voelkers Osterville|508-4284424
A80035|Carlson GMAC Real Estate|603-6222500
A80036|Martin Real Estate|781-5897164
A80037|Real Estate Associates|508-5480200
A80038|Bradford Realty|781-3566565
A80039|WEICHERT, REALTORS -  Empire Associates|781-8789964
A80040|Next Level Landmark Realty, Inc.|617-7700001
A80041|ERA Cape Real Estate, LLC|508-4956900
A80042|Century 21 Northshore|978-5325555
A80043|Molisse Realty Group|781-8498000
A80044|Engel & Volkers Plymouth|508-7477755
A80045|Kinlin Grover GMAC Real Estate|508-5631121
A80046|Brookline Homes & Estates LLC|617-9626539
A80047|TradeWinds Realty Group LLC|508-7465559
A80048|Lights on Realty LLC|866-6394663
A80049|Robert Paul Properties, Inc.|508-7482400
A80050|Capital Residential|781-7491990
A80051|Lights on Realty LLC|603-8913500
A80052|South Shore Signature Real Estate|781-7717139
A80053|The Condo Specialists|508-2166707
A80054|Luke Realty|774-3138576
A80055|Boston Light Real Estate|617-3280700
A80056|J.Pierre Realty|508-2328633
A80057|Boston Real Estate|617-2933886
A80058|North Atlantic Realty Group|774-4135432
A80059|Great Options Real Estate|617-9222436
A80060|Kinlin Grover GMAC|508-8965701
A90004|John A. Cotino, R.E. Appraiser|508-7465164
A90033|Cape Bay Real Estate|508-7264145
A90079|Anthony Massimino, Realtor|781-8262211
A90089|Charisma Realty, Inc.|781-9250910
A90095|Sun Appraisal Company, Inc.|508-2309300
A90137|Jeannie Graham, Realtor|781-8262700
A90143|Real Estate Devel. & Exchange|781-2940962
A94001|Braua Real Estate|508-3352230
A95001|Gerald C. Monaco Jr.|508-       
A95002|Conway - Washington Grove|877-8440763
A95003|Carey Real Estate|508-7759119
A95004|Century 21 Annex Realty In.|617-4734330
A95005|Buyers Brokers Realty Services|781-5880961
A95006|Crescent Realty Group|781-9345525
A95007|Century 21 Bourne Landing|508-7592525
A95008|Marquis GMAC Real Estate|508-7477777
A95009|Young's Real Estate|781-8343253
A95011|Realty Analysts, Inc.|781-7888822
A95012|Meenmore Realty Inc.|978-2635200
A95013|MacDonald & Donovan|617-8482100
A95014|Norwell Realty|781-6592006
A95015|Papagno Real Estate|508-3783936
A95016|Neri & Janus Real Estate|508-7475333
A95017|Sullivan Realty Company|617-4722400
A95018|Landmark Real Estate Service|617-7832003
A95019|Barnstable Plymouth Appr. Sev.|508-7590106
A95020|Astra Realty Group|508-8752400
A95021|North Atlantic Appraisal Management|508-5590444
A95022|C & D Realtors|617-4488421
A95023|Main Street Realty|508-3941216
A95024|Elm Appraisal|508-5835753
A95025|Alliance Realty Advisors, Inc.|781-7491696
A95026|Century 21 D Amico & Associate|617-8892020
A95027|Dana Chase Real Estate|508-3783011
A95028|Realty Executives|508-7434600
A95029|Southshore Savings Bank|781-3373000
A95030|Option Realty|781-8715959
A95031|Results R. E.|781-3352002
A95032|Professional Real Estate|508-6784703
A95033|Oliver Realty|508-9976800
A95034|Today Real Estate|877-5116671
A95035|Coastal Countryside Properties|781-3839922
A95036|Omega Realty Group|617-6454000
A95037|Century 21 Tullish & Clancy|781-3313232
A95038|Optimum Real Estate, Inc.|781-4470700
A95039|Mattie Associates|781-7401089
A95040|Mahoney Associates R. E.|781-8489500
A95041|Josephine Moynihan|781-7694244
A95042|Cafferty Real Estate|781-7497192
A95043|Homestead Real Estate|781-4476500
A95044|Freedom Realty|781-9618500
A95045|Robert Stone, Inc.|781-8434600
A95046|High Ridge Realty|508-4284627
A95047|Pulte Homes of New England|508-7599251
A95048|Janovsky Appraisal Service Inc|781-8438438
A95049|New England Properties|617-2870812
A95050|David Walsh, Realtors|781-3311270
A95051|Hotz Real Estate|508-9470169
A95052|Hams El-gabri|508-5846710
A95053|New England Asset Realty|508-9410111
A95057|Gustafson Real Estate, Inc.|508-3940900
A95058|Marshall Realty|781-8288333
A95059|Econobroker, Inc.|508-5390792
A95060|Econobroker, Inc.|508-8700306
A95061|Pioneer Valley Real Estate|413-5343339
A95062|The Cape Group, Inc.|508-5488888
A95063|Buyer Brokers of Cape Cod|508-5408410
A95064|Castle Realty, Inc.|508-7478888
A95065|Conway - Abington|781-8785775
A95066|Century 21 Tassinari & Assoc.|508-7471258
A95067|Richard E. Ramponi, Realtor|781-3375620
A95068|Stranberg Real Estate|617-4712226
A95069|Solomon & Associates R. E.|781-5828383
A95070|Maxwell House Real Estate|781-6819633
A95071|Legal Realty, Inc.|617-3288888
A95072|Realty Executives of Cape Cod|508-3621300
A95073|On Cape Cod Real Estate|508-9892204
A95074|Janus Realty|617-3283434
A95075|Prudential Premier Properties|508-4283320
A95076|Popes Farm Realty|781-5853700
A95077|Statewide Real Estate Assoc.|508-3455077
A95078|Prudential Premier Properties|508-5204113
A95079|Real Estate Solutions|617-4728181
A95080|Curley Realty|617-4811501
A95081|Coldwell Banker Kiley Real Estate|617-2693227
A95082|Baystate Realty Home Sales|781-3565164
A95083|M. L. BRENNAN REAL ESTATE|617-4714805
A95084|Nepo B. Amo Real Estate|617-4724581
A95085|Realty Exec. S.Shore/Norwell|781-8713610
A95086|JVO Corporation|781-8717000
A95087|Marlborough Associates|617-2279111
A95088|Shea Real Estate|617-4716091
A95089|Maurice Murphy Realty|781-9250979
A95090|Southard Realty|781-8344000
A95091|G.P Pines|508-2095000
A95092|Lee's Realty|617-6452238
A95093|Cotton Dog Realty|603-8012641
A95094|Marc S. Safner, SRA|617-4821432
A95095|Joly, McAbee & Weinert, LLC|508-8337578
A95096|Century 21 Dream Homes|508-5631121
A95097|Jackson Investment Services|781-8375118
A95098|United Real Estate Appraisal|781-8340633
A95099|Crowley, Marquis - GMAC R.E.|508-7594430
A95100|The Apartment Network, Inc.|617-7704870
A95101|Carriage House Realtors|617-3280500
A95102|McCarthy & Associates|781-9253111
A95103|Harold F. Moody, Jr.|508-7479600
A95104|Kane Real Estate|617-9098193
A95105|SIJ - Assoc. Realty|781-3409531
A95106|Olson Real Estate|781-4470006
A95107|Dante F. Gallerani Real Estate|508-8880890
A95108|Avery Associates|781-3379079
A95109|Assist 2 Sell|781-3317355
A95110|Assist 2 Sell, Cape & Islands|508-4322467
A95111|Maurice Rosenthal|781-5822069
A95112|Chilton Development Company|781-8781113
A95113|Marilyn Jackson Adams|617-7636506
A95114|Cornerstone Properties|508-7597300
A95115|Lavin Realty Advisors, Inc.|617-4715480
A95116|Classic 2000 Real Estate Inc.|508-8629896
A95117|Century 21 Beach Road Real Estate|508-2559797
A95118|Realty Executives|508-6278767
A95119|Bennett Witte Real Estate|508-2283405
A95120|Wexford Realty Corp.|508-7462525
A95121|Brodley Appraisals|508-2913886
A95122|Re/max Bayside|617-2962877
A95123|Conway  - Relocation Division|781-8710080
A95124|Denco Property Services|617-6995544
A95125|M. Ellen Kavanagh|508-7780734
A95126|Tracy Lawrence|781-9829408
A95127|Rhian Ashley Real Estate Co.|508-7473099
A95128|Regent Real Estate|508-9227653
A95129|Moutsos Realty|617-8527889
A95160|Greater Boston Realty|888-7578181
A95161|Rocker Realty|508-6339991
A95162|Keller Williams Realty|781-6590070
A95163|Realty Exec.|508-5639777
A95164|Carlson Property Advisors, Inc.|617-6407148
A95165|Peter Brown REALTORS|781-7181234
A95166|Grand Gables Realty Group Inc.|781-5453155
A95167|Silver Brook Farm|781-6592544
A95168|Gretchen Ewing Buitta Realty|781-6594833
A95169|Courtney II Realty|781-9254432
A95170|Karen Stefani|508-7769090
A95171|Kevin McGowan|508-6602518
A95172|Paragon Park Realty|781-9252200
A95173|Springer Realty|508-2400203
A95174|America's Hometown Realty, LLC|781-5829930
A95175|Optimum Real Estate, Inc.|508-8940007
A95176|T L C Real Estate|781-7401691
A95177|Apone Associates|508-5408178
A95178|Nanette Iula Realty|508-2750295
A95179|SJ Property Appraisals|508-2245100
A95180|Audrey A. Macdonald, Appraiser|781-9342920
A95181|Brenner Real Estate|508-7289800
A95182|Bugbee Properties & Investments|781-5859367
A95183|Philip Howard R.E. Brokerage|781-8376484
A95184|Claddagh Properties Ltd|617-7709006
A95185|Gateway Realty|781-9866700
A95186|Century 21 South Shore|781-8372832
A95187|Romano Realty|508-8300963
A95188|RPM Real Estate|781-8261236
A95189|The Chase Team Realty|781-8716440
A95190|D & S Real Estate & Property|617-3280700
A95191|BK Real Estate, Inc.|508-7784005
A95192|At The Bay, Realtors, LTD|508-5631766
A95193|Century 21 South Shore Walker Bros.|781-9342500
A95194|American Real Estate Services|781-8340808
A95195|Santomarco Real Estate Service|508-6680304
A95196|Tardo Real Estate|617-7868383
A95197|Gold Band Advisory Group|508-2085495
A95198|Atlantic Real Estate Associates, Inc.|781-3190319
A95199|Tarantino Real Estate|781-6597910
A95200|Champion Builders, Inc.|781-8263800
A95201|MRA, Inc.|508-7591580
A95202|Century 21 Seaside Village Properties|508-4208888
A95203|Quincy Realty|617-4726935
A95204|Century 21 Alliance Realty|781-8260073
A95205|Cape Coast Realty|508-7599517
A95206|ERA Belsito & Associates, Inc.|508-8888101
A95207|A2Z Realty|617-7750553
A95208|Whitman Homes|781-8215216
A95209|Rite-Way Realty|508-7630084
A95210|Century 21 North Shore - Corporate|781-2411200
A95211|RE/MAX On Island|508-6963704
A95212|South Shore Realty, Inc.|781-4224251
A95213|Pena Real Estate|508-5483571
A95214|Royal T. Corp.|508-3629480
A95215|Washington Appraisal|508-2075292
A95216|Capeway Realty|508-8668778
A95217|Kinlin Grover GMAC Real Estate|508-5486611
A95218|Virginia Johnson & Associates|978-8343000
A95219|John J. Widdison|508-8333148
A95220|Flagship Realty Group, Inc.|617-7457880
A95221|Weatherly Real Estate|781-6599700
A95222|Re/max Prime Real Estate|781-8299292
A95223|Granite Real Estate|508-3622495
A95224|Dias Realty|508-6924023
A95225|Chateau Real Estate|617-7736917
A95226|Southbrook Realty Group, Inc|508-3458288
A95227|Colonial Realty Group|508-8669300
A95228|Colonial Realty Group|781-8344311
A95229|E.A. Ready & Sons, Inc.|508-8622674
A95230|Affinity REALTORS, LLC|781-9341314
A95231|CB Joly, McAbee & Weinert|508-5632929
A95232|Motyka Real Estate, Inc.|781-8379600
A95233|CB Joly, McAbee & Weinert|508-8337578
A95234|MLB Real Estate|781-7180634
A95235|Harrison & Fuhs, REALTORS|508-7717974
A95236|Dugan Realty, Inc.|508-8884408
A95237|Patricia E. Martin|781-8260801
A95238|Look Here Real Estate, Inc.|781-8781188
A95239|Cheska Realty|508-8662325
A95240|Papa Realty Group|617-2125863
A95241|Re/max Bayside Properties|508-7591500
A95242|John Rogers Real Estate|617-7335635
A95243|Kinlin Grover GMAC Real Estate|508-8333333
A95244|Starboard Real Estate Sales, LLC|508-9944100
A95245|Falmouth Realty Associates|508-5635100
A95246|Horizon Partners LLC|781-3565700
A95247|ListWell, Inc.|774-7737077
A95248|Town of Duxbury Assessing Dept|781-9341109
A95249|Agora Realty|617-3284144
A95250|New Century Realty|617-4791100
A95251|Come Home Realty|781-4859200
A95252|Freedman Realty|617-6947295
A95253|Century 21 Abigail Adams|781-9342500
A95254|Century 21 Abigail Adams|781-8372832
A95255|Century 21 Abigail Adams|781-9827515
A95256|RE/MAX Bayside|508-5639777
A95257|Carol Swain Real Estate|781-5459399
A95258|Daniel W. Clark Real Estate|781-8346569
A95259|Kinlin Grover GMAC Real Estate|508-3622120
A95260|Buyers Advantage Network|508-8660001
A95261|A-Trio Real Estate, LLC|508-8668035
A95262|Kinlin Grover GMAC Real Estate|508-9451856
A95263|Kinlin Grover GMAC Real Estate|508-4328800
A95264|Jack Conway Cape Cod - Sandwich|508-8882300
A95265|Empire Realty Group|781-8789964
A95266|Potter Realty|508-8899901
A95267|CB Joly, McAbee & Weinert|508-3855310
A95268|CB Joly, McAbee & Weinert|508-3940971
A95269|CB Joly, McAbee & Weinert|508-3621993
A95270|CB Joly, McAbee & Weinert|508-7780050
A95271|Board of Assessors|781-3834114
A95272|Whitman Homes|508-2342821
A95273|Danny Griffin Real Estate, Inc|888-5604162
A95274|Sunshine Appraisal Services Corporation|508-6719043
A95275|Direct Appraisal Inc.|508-5394880
A95276|Platinum Properties|508-8221440
A95277|International Properties|508-2405301
A95278|LP Real Estate|781-3370443
A95279|Michael Coletta Signature Real Estate Services|781-7920880
A95280|Today Real Estate|508-7902300
A95281|Sesuit Harbor Real Estate|508-3854787
